epoch,acc,loss,lr,mean_absolute_error,val_acc,val_loss,val_mean_absolute_error
0,0.0,63.548489654119116,0.001,6.695760199917443,0.0,100.64892943917889,9.371044511664403
1,0.0,12.986923124017437,0.001,2.9688348081620974,0.0,77.43236029638003,8.048750132730563
2,0.0,12.86439318151518,0.001,2.9840423654301373,0.0,20.9036397542039,3.9943775869395637
3,0.0,12.836953226139286,0.001,2.926798609544605,0.0,72.53212205024614,7.720900509455433
4,0.0,12.747104126187514,0.001,2.9327568432885562,0.0,33.6598721334379,4.994719831910852
5,0.0,12.71318229112757,0.001,2.907950440126996,0.0,13.1625332244455,3.1130799071429527
6,0.0,12.517097561040782,0.001,2.903375385726835,0.0,13.122787606226256,3.081362146220795
7,0.0,12.734952202956615,0.001,2.9321525283672845,0.0,107.59720789243097,9.716100562108705
8,0.0,12.661420423680553,0.001,2.9100984856829664,0.0,58.919701040607606,6.775845181452085
9,0.0,12.450468220102806,0.001,2.8870818234075966,0.0,17.164173570397782,3.692222536426701
10,0.0,12.65470948343819,0.001,2.9071409028429773,0.0,20.104280602442074,3.9534393532635415
11,0.0,12.54070373541016,0.001,2.917238433240196,0.0,17.86474977780695,3.2217900361100287
12,0.0,12.690711283647154,0.001,2.9081013103783953,0.0,13.972421985782988,3.322480854922778
13,0.0,12.428788888289631,0.001,2.9129698448649934,0.0,16.30357838983405,3.09996098688204
14,0.0,12.65131407619072,0.001,2.901793877283732,0.0,16.711588951006327,3.650339962684945
15,0.0,12.531447469913465,0.001,2.904282078764955,0.0,44.25669594333596,5.76707725002341
16,0.0,12.436904324181436,0.001,2.881900409033405,0.0,22.132230392874103,3.535819755841608
