epoch,acc,loss,lr,mean_absolute_error,val_acc,val_loss,val_mean_absolute_error
0,0.0,25.85293319734377,0.001,3.9847752923423427,0.0,56.804143644359016,6.75208619196121
1,0.0,13.19888088963182,0.001,2.960035788298752,0.0,133.99492608684383,11.00072664104096
2,0.0,13.241640383288974,0.001,2.9591715850405245,0.0,27.752422711620593,4.538881558261505
3,0.0,12.948072699998747,0.001,2.9629538050994344,0.0,13.117322490639882,2.937907483479748
4,0.0,12.836231948410129,0.001,2.937360577319624,0.0,12.822993036818831,2.917965209647401
5,0.0,13.081397110416043,0.001,2.9554554645183817,0.0,12.306776899181001,2.908649991636407
6,0.0,13.040086080204077,0.001,2.954803691206989,0.0,12.997064903990863,2.886782164443029
7,0.0,12.994451423760749,0.001,2.9480611730464226,0.0,22.27403511413156,4.067453838374517
8,0.0,12.895701205492387,0.001,2.933363567299557,0.0,13.554754178817959,3.1969691841569667
9,0.0,13.18298418913752,0.001,2.9682162243832826,0.0,22.560119808536687,3.6654562002991975
10,0.0,12.829540083302147,0.001,2.935639305048824,0.0,15.5378131833795,3.4558767080307007
11,0.0,12.672498935744876,0.001,2.9239261848036593,0.0,16.715555387000514,3.5833654828267556
12,0.0,12.923159216223041,0.001,2.9435486890570175,0.0,16.39005209648446,3.5544752780705284
13,0.0,13.15946186742475,0.001,2.961034991591024,0.0,15.012585339480884,2.9678898412887365
14,0.0,12.907827288324382,0.001,2.928902438891831,0.0,12.701812633096356,2.9604836490056288
15,0.0,12.794469125717649,0.001,2.943228757509621,0.0,22.4845770221867,3.601847416734042
